country,app,installs,daus,retention_rate_d7,roas_d7,cost
Turkey,Tales and Dragon,8,9.125,0.0,0.0,0.0
Uzbekistan,Merge Fever,8,12.125,0.0,0.0,0.0
Azerbaijan,Merge Fever,7,3.25,0.2857,0.0,0.0
Bulgaria,Merge HomeTown,7,9.625,0.4286,0.0,0.0
Cambodia,Merge Fever,7,5.125,0.2857,0.0,0.0
Romania,Tales and Dragon,7,9.5,0.4286,0.0,0.0
Sri Lanka,Merge Fever,7,3.0,0.1429,0.0,0.0
Algeria,Merge HomeTown,6,3.875,0.1667,0.0,0.0
Austria,Tales and Dragon,6,8.375,0.3333,0.0,0.0
Azerbaijan,Merge HomeTown,6,2.25,0.1667,0.0,0.0
Bahrain,Merge Fever,6,13.0,0.0,0.0092,5.2024
Bosnia & Herzegovina,Merge Fever,6,4.875,0.1667,0.0,0.0
Qatar,Merge Fever,6,8.5,0.1429,0.1028,6.0724
Switzerland,Merge HomeTown,6,7.125,0.1667,0.0,0.0
Syrian Arab Republic,Merge HomeTown,6,1.375,0.0,0.0,0.0
Uruguay,Merge Fever,6,11.625,0.3333,0.0,0.0
Viet Nam,Tales and Dragon,6,7.75,0.1667,0.0,0.0
Albania,Merge HomeTown,5,3.0,0.2,0.0,0.0
Argentina,Merge HomeTown,5,10.0,0.0,0.0,0.0
"Bolivia, Plurinational State Of",Merge Fever,5,5.75,0.0,0.0,0.0
Bosnia & Herzegovina,Merge HomeTown,5,2.375,0.0,0.0,0.0
Chile,Merge HomeTown,5,9.0,0.0,0.0,0.0
Colombia,Merge HomeTown,5,4.125,0.2,0.0,0.0
Egypt,Tales and Dragon,5,4.125,0.0,0.0,0.0
Georgia,Merge Fever,5,3.0,0.2,0.0,0.0
Iraq,Tales and Dragon,5,2.25,0.2,0.0,0.0
Jamaica,Merge Fever,5,3.875,0.4,0.0,0.0
Jordan,Merge HomeTown,5,2.5,0.0,0.0,0.0
Kazakhstan,Merge HomeTown,5,8.0,0.2,0.0,0.0
Kazakhstan,Tales and Dragon,5,2.875,0.2,0.0,0.0
Lebanon,Merge HomeTown,5,3.125,0.0,0.0,0.0
Lithuania,Merge Fever,5,9.375,0.2,0.0,0.0
"Macedonia, The Former Yugoslav Republic Of",Merge Fever,5,5.375,0.4,0.0,0.0
Malaysia,Tales and Dragon,5,2.875,0.0,0.0,0.0
Moldova,Merge Fever,5,5.375,0.2,0.0,0.0
New Zealand,Tales and Dragon,5,3.75,0.2,0.0,0.0
Panama,Merge Fever,5,2.5,0.0,0.0,0.0
Papua New Guinea,Merge Fever,5,9.875,0.2,0.0351,0.5578
Slovenia,Merge Fever,5,7.875,0.4,0.0,0.0
Syrian Arab Republic,Merge Fever,5,9.75,0.6,0.0,0.0
Trinidad And Tobago,Merge Fever,5,3.125,0.4,0.0,0.0
United Arab Emirates,Merge HomeTown,5,2.125,0.0,0.0,0.0
Belarus,Tales and Dragon,4,4.625,0.5,0.0,0.0
Belgium,Tales and Dragon,4,8.875,0.0,0.0,0.0
Cambodia,Merge HomeTown,4,1.875,0.0,0.0,0.0
Chile,Tales and Dragon,4,1.75,0.0,0.0,0.0
Cote d'Ivoire,Merge Fever,4,3.5,0.0,0.0,0.0
Cuba,Merge HomeTown,4,1.625,0.0,0.0,0.0
Finland,Tales and Dragon,4,1.75,0.0,0.0,0.0
French Polynesia,Merge Fever,4,1.5,0.0,0.0,0.0
Greece,Tales and Dragon,4,2.75,0.0,0.0,0.0
Guyana,Merge Fever,4,2.125,0.25,0.0,0.0
Ireland,Merge HomeTown,4,1.875,0.0,0.0,0.0
Lao People's Democratic Republic,Merge Fever,4,4.375,0.0,0.0,0.0
Latvia,Merge Fever,4,6.0,0.75,0.0,0.0
Moldova,Merge HomeTown,4,3.875,0.25,0.0,0.0
Netherlands,Tales and Dragon,4,12.0,0.0,0.0,0.0
Norway,Tales and Dragon,4,2.625,0.25,0.0,0.0
Philippines,Tales and Dragon,4,1.375,0.0,0.0,0.0
Portugal,Tales and Dragon,4,5.75,0.25,0.0,0.0
Reunion,Merge Fever,4,6.625,0.0,0.0,0.0
Russia,Merge HomeTown,4,5.0,0.25,0.0,0.0
Saudi Arabia,Merge HomeTown,4,6.25,0.25,0.0,0.0
Slovakia,Tales and Dragon,4,2.625,0.25,0.0,0.0
"Taiwan, Province Of China",Tales and Dragon,4,5.125,0.25,0.0,0.0
Tunisia,Merge Fever,4,6.625,0.0,0.0,0.0
Albania,Merge Fever,3,1.5,0.3333,0.0,0.0
Algeria,Tales and Dragon,3,3.125,0.3333,0.0,0.0
Argentina,Tales and Dragon,3,2.375,0.0,0.0,0.0
Armenia,Merge Fever,3,0.625,0.0,0.0,0.0
Brunei Darussalam,Merge Fever,3,9.875,0.0,0.0,0.0
China,Merge Fever,3,1.875,0.0,0.0,0.0
Cuba,Tales and Dragon,3,0.75,0.0,0.0,0.0
Estonia,Merge Fever,3,3.5,0.0,0.0,0.0
